[sobre, 3823]
[todos, 3284]
[terra, 3147]
[assim, 2646]
[homem, 2169]
[disse, 2069]
[minha, 1905]
[entre, 1894]
[jesus, 1685]
[mesmo, 1666]
[ainda, 1620]
[todas, 1620]
[tinha, 1406]
[muito, 1385]
[foram, 1338]
[agora, 1163]
[mundo, 1125]
[olhos, 1122]
[tempo, 1047]
[outro, 987]
[lugar, 984]
[desde, 936]
[deles, 891]
[causa, 889]
[havia, 879]
[parte, 800]
[filho, 797]
[fazer, 789]
[nosso, 787]
[antes, 755]
[nunca, 717]
[outra, 688]
[porta, 650]
[essas, 637]
[morte, 637]
[coisa, 616]
[nossa, 597]
[menos, 548]
[poder, 537]
[tanto, 532]
[vosso, 531]
[santo, 526]
[pelos, 524]
[pouco, 523]
[quais, 521]
[corpo, 517]
[reino, 511]
[vezes, 491]
[carne, 488]
[saber, 484]
[estes, 477]
[algum, 466]
[servo, 461]
[monte, 456]
[maior, 455]
[esses, 440]
[falou, 428]
[junto, 420]
[mesma, 416]
[noite, 414]
[pelas, 410]
[forma, 403]
[livro, 400]
[sendo, 395]
[vossa, 387]
[altar, 378]
[disso, 376]
[cegos, 373]
[ordem, 373]
[tomou, 369]
[fosse, 368]
[dizer, 367]
[campo, 365]
[cinco, 356]
[podem, 351]
[vinte, 348]
[força, 344]
[quase, 337]
[prata, 337]
[estas, 336]
[tendo, 334]
[farei, 334]
[tenho, 325]
[deste, 322]
[seria, 317]
[paulo, 312]
[feito, 309]
[mente, 308]
[redor, 300]
[tribo, 299]
[estou, 297]
[obras, 297]
[desse, 293]
[graça, 286]
[falar, 284]
[temos, 283]
[rosto, 278]
[estar, 273]
[tenda, 271]
[somos, 270]
[povos, 270]
[andar, 266]
[comer, 262]
[salmo, 262]
[pedra, 261]
[justo, 259]
[vendo, 255]
[certo, 254]
[sejam, 250]
[tenha, 249]
[temor, 247]
[sorte, 246]
[conta, 242]
[valor, 240]
[neste, 240]
[gerou, 239]
[velho, 237]
[ideia, 236]
[podia, 236]
[norte, 234]
[dessa, 231]
[forte, 228]
[longe, 225]
[houve, 224]
[fruto, 219]
[morto, 218]
[tarde, 213]
[ouvir, 213]
[gente, 210]
[comum, 202]
[volta, 199]
[idade, 198]
[fazem, 197]
[viver, 195]
[casas, 195]
[termo, 193]
[vinho, 193]
[vista, 192]
[desta, 191]
[trono, 191]
[nesse, 190]
[levou, 190]
[visto, 183]
[vinha, 183]
[sinal, 182]
[anjos, 176]
[ponto, 175]
[novas, 174]
[teria, 171]
[culpa, 170]
[perto, 170]
[ambos, 170]
[passa, 168]
[subiu, 167]
[falta, 166]
[trigo, 166]
[darei, 165]
[pobre, 164]
[delas, 159]
[subir, 158]
[vento, 157]
[devem, 156]
[vinda, 156]
[honra, 155]
[longo, 152]
[ficar, 151]
[deram, 150]
[tiver, 148]
[possa, 144]
[levar, 143]
[matou, 141]
[criar, 139]
[serem, 139]
[cerca, 138]
[livre, 136]
[ouviu, 136]
[carro, 134]
[fazia, 134]
[fonte, 133]
[acima, 133]
[posto, 133]
[vamos, 131]
[haver, 131]
[prova, 131]
[festa, 131]
[mento, 131]
[beber, 130]
[tirou, 130]
[claro, 128]
[altos, 128]
[novos, 127]
[busca, 127]
[venda, 126]
[sabia, 126]
[dizia, 126]
[ossos, 126]
[lucas, 126]
[furor, 126]
[sonho, 124]
[capaz, 123]
[chama, 123]
[chefe, 123]
[geral, 121]
[muita, 121]
[seres, 120]
[chuva, 120]
[menor, 119]
[braço, 119]
[tomar, 119]
[moral, 118]
[acabe, 118]
[baixo, 117]
[matar, 117]
[vindo, 117]
[rocha, 117]
[nuvem, 116]
[meses, 115]
[nesta, 114]
[maria, 114]
[nomes, 113]
[porei, 113]
[vimos, 112]
[dores, 112]
[venha, 112]
[cento, 112]
[preta, 111]
[viram, 111]
[serei, 110]
[limpo, 109]
[ajuda, 108]
[favor, 108]
[dados, 107]
[local, 107]
[ferro, 107]
[deixa, 106]
[fundo, 105]
[vacas, 105]
[praga, 104]
[ficou, 103]
[torna, 103]
[horas, 101]
[diabo, 101]
[jovem, 99]
[achou, 99]
[passo, 98]
[papel, 97]
[filha, 96]
[santa, 96]
[certa, 95]
[quero, 95]
[daqui, 95]
[neles, 95]
[linho, 95]
[posso, 94]
[leite, 94]
[nessa, 93]
[armas, 92]
[lança, 92]
[feriu, 92]
[casos, 90]
[grupo, 90]
[olhar, 90]
[senso, 89]
[dando, 87]
[tocar, 87]
[terem, 86]
[amado, 86]
[cheio, 85]
[roupa, 85]
[bases, 85]
[resto, 84]
[abrir, 84]
[amigo, 84]
[chega, 83]
[feita, 83]
[cheia, 83]
[serva, 83]
[dizem, 81]
[andam, 81]
[ramos, 80]
[sabes, 80]
[falei, 80]
[abriu, 79]
[digno, 79]
[fazei, 79]
[ilhas, 78]
[aonde, 78]
[tirar, 76]
[nelas, 76]
[betel, 76]
[almas, 75]
[feliz, 74]
[pagar, 74]
[casar, 74]
[ester, 74]
[sente, 73]
[vinde, 73]
[devia, 72]
[pedir, 72]
[preço, 71]
[lados, 71]
[mudar, 70]
[entra, 70]
[salvo, 70]
[sabem, 69]
[criou, 69]
[coroa, 69]
[ricos, 68]
[acaso, 68]
[temas, 67]
[sinai, 67]
[bando, 66]
[tipos, 66]
[forem, 66]
[foste, 66]
[pecar, 66]
[judas, 65]
[enfim, 64]
[jejum, 64]
[obter, 63]
[serve, 63]
[olhou, 63]
[lepra, 63]
[massa, 62]
[queda, 62]
[viveu, 62]
[curar, 62]
[muros, 62]
[achei, 62]
[desce, 62]
[basta, 61]
[vivos, 61]
[morre, 61]
[renda, 60]
[lavar, 60]
[varas, 60]
[negro, 59]
[velha, 59]
[final, 59]
[achar, 59]
[peito, 59]
[presa, 59]
[suave, 59]
[fazes, 59]
[reina, 59]
[ceifa, 59]
[weber, 58]
[mitos, 58]
[texto, 58]
[cargo, 58]
[jurou, 58]
[pouca, 57]
[plano, 57]
[morta, 57]
[cujos, 56]
[fugiu, 56]
[sejas, 56]
[china, 55]
[camas, 55]
[nisso, 55]
[borda, 55]
[total, 54]
[tomai, 53]
[prazo, 52]
[ambas, 52]
[torre, 52]
[atual, 51]
[troca, 51]
[tende, 51]
[tocou, 51]
[falam, 51]
[preso, 50]
[barro, 50]
[carta, 50]
[trata, 49]
[tenta, 49]
[igual, 49]
[nudez, 49]
[reais, 48]
[linha, 48]
[soube, 48]
[parou, 48]
[saiba, 48]
[dotes, 48]
[raiva, 47]
[vivem, 47]
[baixa, 47]
[laços, 47]
[davam, 47]
[viste, 47]
[andou, 47]
[perna, 46]
[marca, 46]
[redes, 46]
[vozes, 46]
[fugir, 46]
[carga, 46]
[vivas, 46]
[envia, 46]
[siclo, 46]
[morra, 46]
[retos, 46]
[ideal, 45]
[risco, 45]
[banco, 45]
[pediu, 45]
[cinto, 45]
[forme, 45]
[jeito, 44]
[crime, 44]
[levam, 44]
[comem, 44]
[nisto, 44]
[odeia, 44]
[barco, 44]
[tolos, 44]
[lenha, 44]
[meios, 43]
[parar, 43]
[dever, 43]
[calor, 43]
[tirei, 43]
[veste, 43]
[tanta, 42]
[ruins, 42]
[apoio, 42]
[dedos, 42]
[leste, 42]
[comeu, 42]
[manto, 42]
[mediu, 42]
[afeto, 41]
[segue, 41]
[podes, 41]
[fomos, 41]
[cedro, 41]
[peste, 41]
[lutar, 40]
[breve, 40]
[canto, 40]
[votos, 40]
[besta, 40]
[feras, 40]
[lidar, 39]
[chave, 39]
[mudou, 39]
[gerar, 39]
[bodes, 39]
[vasos, 39]
[olhei, 39]
[lavra, 39]
[mosto, 39]
[pensa, 38]
[faria, 38]
[verde, 38]
[manda, 38]
[navio, 38]
[julga, 38]
[mapas, 38]
[jurar, 38]
[temem, 38]
[parto, 38]
[judeu, 38]
[moços, 38]
[elite, 37]
[negra, 37]
[corda, 37]
[vivia, 37]
[torno, 37]
[ontem, 37]
[cujas, 37]
[praça, 37]
[tomei, 37]
[vemos, 36]
[sacos, 36]
[prato, 36]
[daria, 36]
[façam, 36]
[sexto, 36]
[rodas, 36]
[cinza, 36]
[exige, 35]
[acaba, 35]
[costa, 35]
[vidas, 35]
[roubo, 35]
[choro, 35]
[limpa, 35]
[bolos, 35]
[dizes, 35]
[cobre, 35]
[pasto, 35]
[ficam, 34]
[ponta, 34]
[falsa, 34]
[dente, 34]
[ponha, 34]
[curou, 34]
[clama, 34]
[ouvem, 34]
[souza, 33]
[drama, 33]
[rapaz, 33]
[moeda, 33]
[perda, 33]
[donde, 33]
[ombro, 33]
[ferir, 33]
[areia, 33]
[terça, 33]
[cesto, 33]
[penal, 32]
[regra, 32]
[bolsa, 32]
[justa, 32]
[males, 32]
[falso, 32]
[opera, 32]
[testa, 32]
[palha, 32]
[vilas, 32]
[pecou, 32]
[ungir, 32]
[banho, 31]
[diria, 31]
[medir, 31]
[macho, 31]
[posta, 31]
[ondas, 31]
[vales, 31]
[panos, 31]
[manso, 31]
[ardor, 31]
[salva, 31]
[abias, 31]
[jurei, 31]
[negar, 30]
[criam, 30]
[passe, 30]
[livra, 30]
[babel, 30]
[jogar, 29]
[clara, 29]
[autor, 29]
[grave, 29]
[morar, 29]
[peixe, 29]
[curas, 29]
[subia, 29]
[cegar, 28]
[fator, 28]
[frase, 28]
[curso, 28]
[resta, 28]
[grego, 28]
[peles, 28]
[temeu, 28]
[mares, 28]
[quele, 28]
[leito, 28]
[penha, 28]
[vedes, 28]
[usado, 27]
[culto, 27]
[lucro, 27]
[medos, 27]
[grito, 27]
[dadas, 27]
[altas, 27]
[nariz, 27]
[nasce, 27]
[treze, 27]
[secar, 27]
[harpa, 27]
[genes, 26]
[metal, 26]
[minas, 26]
[vazio, 26]
[fique, 26]
[cruel, 26]
[praia, 26]
[param, 26]
[forno, 26]
[vejam, 26]
[amava, 26]
[louva, 26]
[dizei, 26]
[sogro, 26]
[abuso, 25]
[merda, 25]
[perde, 25]
[ligar, 25]
[sofre, 25]
[corre, 25]
[porto, 25]
[cores, 25]
[virem, 25]
[pondo, 25]
[noivo, 25]
[odiar, 25]
[fores, 25]
[creem, 25]
[madre, 25]
[nabal, 25]
[ponde, 25]
[caixa, 24]
[crise, 24]
[erros, 24]
[oeste, 24]
[grega, 24]
[virou, 24]
[pegou, 24]
[fizer, 24]
[bacia, 24]
[deixe, 24]
[barba, 24]
[amada, 24]
[sarai, 24]
[pomba, 24]
[verei, 24]
[tabor, 24]
[usura, 24]
[cegas, 23]
[ganha, 23]
[longa, 23]
[persa, 23]
[firme, 23]
[creio, 23]
[febre, 23]
[pegar, 23]
[pavor, 23]
[tando, 23]
[turno, 23]
[servi, 23]
[prega, 23]
[hotel, 22]
[curto, 22]
[caçar, 22]
[gosta, 22]
[vidro, 22]
[guiar, 22]
[usada, 22]
[folha, 22]
[fraco, 22]
[falas, 22]
[graus, 22]
[cauda, 22]
[funda, 22]
[temia, 22]
[moças, 22]
[magos, 22]
[heteu, 22]
[arroz, 21]
[raras, 21]
[modos, 21]
[clima, 21]
[gesto, 21]
[bater, 21]
[setor, 21]
[gosto, 21]
[vazia, 21]
[deusa, 21]
[ouvia, 21]
[grado, 21]
[vende, 21]
[bodas, 21]
[comei, 21]
[marta, 21]
[sabei, 21]
[taças, 21]
[ritmo, 20]
[surge, 20]
[custo, 20]
[vapor, 20]
[notas, 20]
[puder, 20]
[aviso, 20]
[damos, 20]
[acham, 20]
[copos, 20]
[darem, 20]
[nobre, 20]
[demos, 20]
[dobro, 20]
[terei, 20]
[ponho, 20]
[mando, 20]
[mesas, 20]
[odeio, 20]
[cetro, 20]
[envio, 20]
[estai, 20]
[ungiu, 20]
[dieta, 19]
[casal, 19]
[fatos, 19]
[civis, 19]
[amiga, 19]
[civil, 19]
[beira, 19]
[corte, 19]
[pense, 19]
[doces, 19]
[temer, 19]
[remos, 19]
[guiou, 19]
[canas, 19]
[falai, 19]
[mirra, 19]
[olhai, 19]
[secou, 19]
[torne, 19]
[velar, 19]
[droga, 18]
[raças, 18]
[valia, 18]
[cegou, 18]
[virar, 18]
[penas, 18]
[sinto, 18]
[golpe, 18]
[solta, 18]
[rigor, 18]
[matei, 18]
[tomam, 18]
[digam, 18]
[matam, 18]
[cerco, 18]
[gados, 18]
[direi, 18]
[volte, 18]
[seara, 18]
[venho, 18]
[afora, 18]
[lagar, 18]
[puser, 18]
[sogra, 18]
[baile, 17]
[banda, 17]
[ciclo, 17]
[couro, 17]
[sexta, 17]
[sirva, 17]
[chaga, 17]
[jogos, 16]
[norma, 16]
[panda, 16]
[globo, 16]
[amplo, 16]
[custa, 16]
[magia, 16]
[donos, 16]
[lutam, 16]
[disto, 16]
[juros, 16]
[ervas, 16]
[palmo, 16]
[verbo, 16]
[dorme, 16]
[seios, 16]
[secos, 16]
[vigia, 16]
[sopro, 16]
[bebeu, 16]
[virei, 16]
[enche, 16]
[vires, 16]
[andai, 16]
[tirai, 16]
[hindu, 15]
[motor, 15]
[lista, 15]
[porco, 15]
[sonha, 15]
[levei, 15]
[seita, 15]
[ritos, 15]
[vigor, 15]
[joias, 15]
[moveu, 15]
[viera, 15]
[larga, 15]
[apolo, 15]
[peças, 15]
[armou, 15]
[fales, 15]
[calva, 15]
[munho, 15]
[xviii, 14]
[coxia, 14]
[bolso, 14]
[calma, 14]
[notar, 14]
[durou, 14]
[lutas, 14]
[impor, 14]
[curta, 14]
[rente, 14]
[penso, 14]
[tente, 14]
[posse, 14]
[luzes, 14]
[mover, 14]
[lobos, 14]
[viria, 14]
[fecha, 14]
[digna, 14]
[punha, 14]
[largo, 14]
[comia, 14]
[digas, 14]
[traga, 14]
[cuida, 14]
[letra, 14]
[adora, 14]
[tidos, 14]
[farto, 14]
[lavou, 14]
[sobem, 14]
[ouçam, 14]
[cabra, 14]
[coxos, 14]
[deres, 14]
[parti, 14]
[errar, 14]
[acaia, 14]
[desça, 14]
[raros, 13]
[manta, 13]
[punir, 13]
[sutil, 13]
[tenra, 13]
[sobra, 13]
[fardo, 13]
[fluxo, 13]
[casta, 13]
[durar, 13]
[fraca, 13]
[poços, 13]
[rumor, 13]
[leque, 13]
[ganho, 13]
[pesar, 13]
[feroz, 13]
[ligou, 13]
[noiva, 13]
[levem, 13]
[apaga, 13]
[calar, 13]
[tropa, 13]
[gando, 13]
[ninho, 13]
[jazia, 13]
[pajem, 13]
[uivai, 13]
[zeram, 13]
[taxas, 12]
[cauri, 12]
[credo, 12]
[briga, 12]
[gatos, 12]
[usava, 12]
[meros, 12]
[padre, 12]
[salto, 12]
[natal, 12]
[anual, 12]
[terço, 12]
[sinta, 12]
[apelo, 12]
[ditas, 12]
[dança, 12]
[cobra, 12]
[visse, 12]
[abate, 12]
[molho, 12]
[deves, 12]
[criei, 12]
[tiram, 12]
[bebem, 12]
[negou, 12]
[diana, 12]
[selar, 12]
[comam, 12]
[festo, 12]
[fogem, 12]
[foice, 12]
[genro, 12]
[irado, 12]
[sarça, 12]
[paris, 11]
[dupla, 11]
[sujas, 11]
[fadas, 11]
[puxar, 11]
[nozes, 11]
[falha, 11]
[rotas, 11]
[lento, 11]
[lendo, 11]
[sabor, 11]
[gotas, 11]
[preto, 11]
[evita, 11]
[pilar, 11]
[solto, 11]
[saiam, 11]
[arcos, 11]
[surdo, 11]
[cessa, 11]
[puros, 11]
[verme, 11]
[derem, 11]
[fugia, 11]
[chora, 11]
[andas, 11]
[clamo, 11]
[creta, 11]
[haste, 11]
[horto, 11]
[jazem, 11]
[jazer, 11]
