Relatório Sapiens.pdf
[mesmo, 705]
[entre, 663]
[muito, 658]
[mundo, 620]
[todos, 554]
[sobre, 500]
[ainda, 438]
[assim, 419]
[todas, 383]
[parte, 327]
[menos, 307]
[forma, 288]
[tempo, 288]
[essas, 281]
[nossa, 278]
[outro, 277]
[maior, 265]
[foram, 258]
[nunca, 241]
[podem, 237]
[fazer, 215]
[pouco, 212]
[esses, 208]
[vezes, 203]
[desse, 195]
[tanto, 189]
[quase, 188]
[corpo, 187]
[dessa, 179]
[nosso, 175]
[disso, 173]
[antes, 172]
[mesma, 171]
[poder, 171]
[comum, 163]
[homem, 159]
[havia, 149]
[quais, 147]
[outra, 146]
[conta, 142]
[tinha, 142]
[lugar, 141]
[ordem, 137]
[ideia, 136]
[pelos, 132]
[desde, 131]
[sendo, 131]
[nesse, 123]
[valor, 122]
[seria, 120]
[algum, 119]
[ponto, 113]
[coisa, 111]
[moral, 109]
[fosse, 108]
[livro, 106]
[agora, 105]
[longo, 102]
[novas, 102]
[dizer, 96]
[terra, 95]
[podia, 94]
[pelas, 90]
[temos, 89]
[cerca, 89]
[mente, 88]
[volta, 87]
[senso, 84]
[capaz, 84]
[novos, 84]
[força, 82]
[saber, 82]
[morte, 82]
[geral, 79]
[viver, 79]
[criar, 79]
[vimos, 76]
[deles, 76]
[claro, 75]
[dados, 74]
[estar, 71]
[tenha, 71]
[falta, 70]
[teria, 70]
[fonte, 67]
[seres, 67]
[passa, 66]
[serem, 65]
[papel, 65]
[fazem, 64]
[passo, 64]
[trigo, 63]
[casos, 62]
[busca, 61]
[bando, 61]
[nessa, 60]
[certo, 60]
[ajuda, 60]
[idade, 59]
[weber, 58]
[mitos, 57]
[sejam, 56]
[falar, 56]
[renda, 55]
[tipos, 55]
[norte, 55]
[china, 55]
[delas, 54]
[tendo, 53]
[minha, 53]
[pobre, 52]
[filho, 52]
[vista, 52]
[devem, 52]
[obter, 52]
[somos, 51]
[pagar, 51]
[torna, 50]
[filha, 50]
[menor, 50]
[ficar, 49]
[possa, 48]
[gente, 47]
[visto, 46]
[certa, 46]
[muita, 46]
[grupo, 45]
[negro, 44]
[campo, 44]
[levar, 44]
[local, 44]
[acima, 43]
[ideal, 43]
[povos, 43]
[ilhas, 43]
[neste, 42]
[forte, 42]
[meses, 42]
[deste, 40]
[texto, 40]
[atual, 40]
[tarde, 40]
[livre, 40]
[ricos, 40]
[fundo, 39]
[horas, 39]
[ambos, 39]
[troca, 39]
[olhar, 38]
[olhos, 38]
[massa, 38]
[prazo, 37]
[mudar, 37]
[levou, 37]
[reino, 37]
[elite, 37]
[preço, 37]
[causa, 36]
[fazia, 36]
[total, 36]
[longe, 36]
[baixo, 35]
[feito, 35]
[resto, 35]
[prata, 35]
[marca, 34]
[sorte, 34]
[reais, 34]
[risco, 34]
[comer, 34]
[afeto, 33]
[souza, 33]
[culpa, 33]
[sente, 33]
[favor, 33]
[pedra, 33]
[paulo, 32]
[carne, 32]
[penal, 31]
[deixa, 31]
[terem, 31]
[crime, 30]
[vivem, 30]
[junto, 30]
[banco, 30]
[drama, 29]
[haver, 29]
[estes, 29]
[tenho, 28]
[chega, 28]
[feita, 28]
[tende, 28]
[ficou, 28]
[costa, 28]
[leite, 28]
[disse, 27]
[trata, 27]
[prova, 27]
[casas, 27]
[exige, 26]
[tenta, 26]
[fator, 26]
[noite, 26]
[lidar, 26]
[genes, 26]
[redes, 26]
[fruto, 25]
[dando, 25]
[feliz, 25]
[lutar, 25]
[criou, 25]
[armas, 25]
[jovem, 24]
[cinco, 24]
[houve, 24]
[pouca, 24]
[negra, 23]
[digno, 23]
[serve, 23]
[basta, 23]
[meios, 23]
[sabia, 23]
[torno, 23]
[final, 22]
[regra, 22]
[laços, 22]
[estas, 22]
[perto, 22]
[abrir, 22]
[tribo, 22]
[vacas, 22]
[chave, 21]
[dever, 21]
[posto, 21]
[pensa, 21]
[vidas, 21]
[pedir, 21]
[bases, 21]
[moeda, 21]
[leste, 21]
[autor, 20]
[raiva, 20]
[tomar, 20]
[vivia, 20]
[minas, 20]
[arroz, 20]
[mento, 19]
[chama, 19]
[baixa, 19]
[jogar, 19]
[honra, 19]
[curso, 19]
[velho, 19]
[usado, 19]
[clima, 19]
[deram, 19]
[linha, 19]
[abuso, 18]
[maria, 18]
[sabem, 18]
[matar, 18]
[culto, 18]
[raras, 18]
[caçar, 18]
[dieta, 18]
[baile, 17]
[quero, 17]
[andar, 17]
[jeito, 17]
[justo, 17]
[plano, 17]
[clara, 17]
[ouvir, 17]
[posso, 17]
[ritmo, 17]
[tanta, 17]
[lucro, 17]
[mudou, 17]
[raças, 17]
[persa, 17]
